Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Vladimir Guerrero Jr.,TOR,152,650,568,173,32,2,41,107,109,74,101,6,3,2,,0.305,0.389,0.584,0.973,0.409,159,,5.6,,5,,4.07,-0.06,1.44,19611
Freddie Freeman,LAD,152,664,570,169,34,2,32,106,98,84,107,7,6,3,,0.296,0.392,0.53,0.922,0.39,147,,5.1,,18.4,,2.26,-0.71,1.02,5361
Matt Olson,ATL,149,643,548,145,28,1,40,96,106,80,132,9,3,1,,0.264,0.364,0.535,0.899,0.379,135,,4.2,,36.7,,2.13,0.94,1.28,14344
Pete Alonso,NYM,152,649,566,147,27,2,40,89,107,65,143,14,2,1,,0.259,0.348,0.527,0.875,0.37,134,,3.5,,45.3,,2.73,-0.24,1.37,19251
Paul Goldschmidt,STL,151,659,576,159,29,2,30,95,88,75,138,4,8,2,,0.276,0.361,0.49,0.852,0.36,127,,3.5,,47.5,,3.42,-1.14,0.52,9218
Max Muncy,LAD,125,525,440,110,20,1,30,81,84,74,117,8,2,1,,0.251,0.367,0.509,0.876,0.373,136,,3.2,,126.5,,3.57,0.39,0.84,13301
Rhys Hoskins,PHI,135,584,491,118,27,1,35,86,89,81,138,9,3,2,,0.241,0.357,0.512,0.869,0.37,130,,3,,122.9,,4.8,-0.12,1.18,16472
Brandon Belt,SFG,123,504,432,108,22,2,26,72,69,65,122,5,3,2,,0.25,0.354,0.491,0.845,0.36,128,,2.5,,233.8,,3.63,1.27,0.48,10264
Ty France,SEA,142,587,523,143,28,1,19,73,73,42,108,18,0,0,,0.272,0.345,0.439,0.783,0.34,120,,2.4,,157.7,,2.91,0.04,0.68,17982
DJ LeMahieu,NYY,130,576,517,145,24,2,12,76,58,52,78,3,4,2,,0.281,0.348,0.403,0.751,0.328,106,,2.3,,123.3,,4.55,0.08,0.94,9874
Jared Walsh,LAA,141,579,520,136,28,2,29,77,91,48,148,6,2,1,,0.261,0.327,0.491,0.819,0.346,120,,2.2,,119.2,,2.36,-0.22,0.85,18607
Anthony Rizzo,NYY,136,574,494,126,22,2,24,75,74,58,88,17,5,2,,0.255,0.351,0.454,0.805,0.345,117,,2.1,,187.4,,3.14,0.33,0.31,3473
José Abreu,CHW,149,644,574,152,30,2,30,86,101,49,140,15,1,1,,0.265,0.335,0.482,0.816,0.346,118,,2.1,,79,,1.41,0.81,1.1,15676
Josh Bell,WSN,145,605,527,140,26,2,30,82,93,68,118,4,0,0,,0.266,0.351,0.491,0.842,0.358,122,,1.9,,129.3,,2.63,-0.32,0.97,13145
Joey Votto,CIN,138,588,500,127,24,1,29,80,84,81,132,4,1,1,,0.255,0.361,0.484,0.845,0.358,118,,1.9,,142.1,,2.53,-1.06,0.82,4314
Nathaniel Lowe,TEX,141,585,507,131,24,2,19,72,71,71,147,4,6,1,,0.258,0.352,0.426,0.777,0.339,116,,1.8,,251.1,,1.82,-0.11,0.17,19566
Jonathan Schoop,DET,140,596,551,145,26,2,22,72,74,31,123,9,2,1,,0.263,0.309,0.438,0.747,0.32,102,,1.7,,215.4,,1.43,-1.13,0.46,11265
Bobby Dalbec,BOS,126,492,438,104,20,3,30,63,76,44,163,8,3,1,,0.238,0.318,0.5,0.818,0.346,116,,1.7,,223.3,,3.65,-0.44,0.87,19966
C.J. Cron,COL,136,551,486,130,27,1,29,73,87,50,123,12,1,0,,0.269,0.349,0.509,0.859,0.365,115,,1.7,,123.2,,2.95,-0.65,0.86,12546
Yandy Díaz,TBR,117,481,416,112,20,1,12,58,54,59,78,3,1,1,,0.27,0.362,0.411,0.773,0.339,113,,1.6,,484,,2.5,0.39,0.65,16578
Alex Kirilloff,MIN,123,509,470,128,25,2,20,59,67,32,107,4,4,2,,0.272,0.322,0.46,0.782,0.333,111,,1.6,,180.3,,3.82,-0.89,0.55,20325
Ryan Mountcastle,BAL,145,611,559,146,28,2,30,77,87,40,155,5,4,2,,0.261,0.313,0.478,0.791,0.335,111,,1.6,,120.7,,1.49,0.14,0.68,18373
Brad Miller,TEX,110,376,330,77,14,2,18,49,49,42,107,3,3,1,,0.235,0.325,0.451,0.776,0.332,112,,1.5,,544,,2.43,-0.38,0.4,12775
Trey Mancini,BAL,143,613,552,145,28,2,24,77,75,51,139,8,0,0,,0.263,0.332,0.451,0.783,0.336,112,,1.4,,208.7,,3.19,-0.91,0.63,15149
Austin Nola,SDP,96,361,322,83,17,1,9,37,42,30,59,6,1,1,,0.259,0.331,0.403,0.734,0.319,100,,1.4,,379.5,,1.78,0.38,0.82,15941
Yuli Gurriel,HOU,133,553,498,139,28,1,15,67,69,42,66,4,2,1,,0.278,0.334,0.43,0.764,0.329,111,,1.4,,209.5,,4.15,-0.3,0.77,19198
Luke Voit,SDP,116,475,418,104,18,1,24,61,71,47,131,9,0,0,,0.249,0.336,0.469,0.806,0.346,118,,1.3,,236.8,,2.46,-0.68,0.6,14811
Garrett Cooper,MIA,107,430,381,101,18,1,15,53,54,42,110,6,2,1,,0.264,0.344,0.435,0.779,0.338,115,,1.1,,532.8,,4.37,-0.13,0.53,15279
