Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Mike Trout,LAA,136,587,476,134,25,3,37,98,95,97,139,10,7,2,,0.281,0.41,0.578,0.988,0.412,164,,6.5,,13,,3.28,-1.31,0.74,10155
Ronald Acuña Jr.,ATL,122,538,457,128,25,2,33,99,81,68,135,9,19,7,,0.281,0.383,0.562,0.945,0.398,147,,5.1,,12,,6.24,-0.27,0.53,18401
Luis Robert,CHW,142,608,555,158,32,3,29,87,85,40,145,9,19,5,,0.285,0.341,0.51,0.85,0.36,128,,4.6,,16.1,,2.43,-2.21,0.5,20043
Byron Buxton,MIN,128,520,480,130,31,3,30,85,76,29,127,7,16,4,,0.27,0.319,0.536,0.855,0.358,128,,4.6,,45.6,,3.54,-2.49,0.45,14161
Bryan Reynolds,PIT,150,632,553,158,33,6,25,85,84,69,128,7,5,2,,0.286,0.37,0.501,0.871,0.371,133,,4.3,,92.9,,1.51,0.39,0.73,19326
George Springer,TOR,135,596,518,136,24,2,35,97,85,66,126,8,6,2,,0.263,0.353,0.521,0.875,0.371,133,,4.2,,57.5,,3.71,-0.05,0.85,12856
Ketel Marte,ARI,142,608,552,161,35,4,22,82,77,47,90,5,5,2,,0.293,0.351,0.49,0.841,0.358,122,,3.7,,78.4,,2.35,-1.75,0.92,13613
Cedric Mullins,BAL,148,636,566,147,30,5,23,85,61,51,120,7,26,7,,0.26,0.326,0.448,0.775,0.332,109,,3.2,,33.2,,2.99,-0.08,1.47,17929
Trent Grisham,SDP,138,580,503,123,26,4,19,78,65,65,132,6,15,4,,0.245,0.336,0.426,0.762,0.33,107,,3.1,,146.8,,2.68,0.7,0.85,18564
Cody Bellinger,LAD,141,570,501,122,24,3,27,79,81,63,127,3,9,3,,0.243,0.33,0.468,0.797,0.338,113,,3.1,,104.8,,4.95,-0.94,0.7,15998
Brandon Nimmo,NYM,123,521,434,114,23,4,13,71,48,73,111,10,7,3,,0.262,0.38,0.424,0.804,0.354,123,,3,,331,,4.15,-0.24,0.63,12927
Harrison Bader,STL,140,517,460,113,23,2,19,64,58,43,128,10,12,4,,0.245,0.321,0.426,0.746,0.321,102,,2.9,,239.4,,4.3,-0.6,0.66,18030
Enrique Hernández,BOS,139,575,509,126,30,2,22,77,68,54,111,7,2,1,,0.248,0.325,0.445,0.771,0.331,105,,2.8,,225.8,,3.33,-0.45,0.51,10472
Starling Marte,NYM,135,591,532,148,27,3,16,88,64,41,109,14,35,7,,0.278,0.344,0.431,0.776,0.336,111,,2.7,,33,,5.48,1.87,2.14,9241
Ramón Laureano,OAK,118,495,442,112,24,2,20,66,59,37,128,11,13,4,,0.254,0.325,0.454,0.779,0.334,116,,2.6,,250.7,,3.88,-0.88,0.62,17128
Max Kepler,MIN,133,558,488,114,25,3,24,74,68,60,104,7,8,2,,0.234,0.323,0.445,0.769,0.33,109,,2.5,,295.3,,1.36,-0.76,0.76,12144
Dylan Carlson,STL,150,635,560,144,31,4,21,80,72,59,152,9,5,2,,0.257,0.335,0.44,0.775,0.334,110,,2.5,,168,,3.59,0.91,0.32,20126
Alex Verdugo,BOS,142,599,541,155,35,2,15,81,65,49,97,5,6,2,,0.287,0.348,0.44,0.788,0.339,111,,2.4,,170,,1.89,-0.63,0.97,17027
Myles Straw,CLE,143,569,504,133,24,2,4,74,42,58,110,3,31,6,,0.263,0.341,0.343,0.684,0.305,92,,2.3,,128.4,,2.54,-0.32,2.41,17620
Daulton Varsho,ARI,121,461,415,105,22,3,18,62,58,40,99,4,10,2,,0.253,0.324,0.45,0.775,0.332,105,,2.2,,92.8,,4.4,0.09,0.51,19918
Ian Happ,CHC,137,545,472,114,22,2,25,69,71,65,154,5,8,3,,0.241,0.338,0.456,0.793,0.341,115,,2.1,,219.1,,2.62,-0.07,0.58,17919
AJ Pollock,LAD,110,430,391,106,22,1,21,57,65,30,87,5,7,2,,0.27,0.328,0.491,0.819,0.347,119,,1.8,,220.9,,3.16,-0.95,0.5,9256
Akil Baddoo,DET,139,562,500,122,24,7,18,74,61,55,145,3,20,5,,0.245,0.321,0.426,0.747,0.322,103,,1.6,,156.3,,2.81,0.55,1.23,22168
Aaron Hicks,NYY,106,429,363,83,16,1,16,54,50,58,96,4,3,1,,0.228,0.338,0.409,0.746,0.325,104,,1.6,,527,,3.83,-0.74,0.32,5297
Lorenzo Cain,MIL,106,427,382,101,18,1,8,50,42,39,73,4,12,4,,0.263,0.336,0.381,0.717,0.313,93,,1.5,,480.7,,4.51,-0.16,1.12,9077
Jarred Kelenic,SEA,133,552,495,115,23,3,22,69,68,50,139,4,12,4,,0.232,0.306,0.423,0.73,0.314,103,,1.4,,144.8,,4.94,0.8,0.89,22558
Adolis García,TEX,132,554,517,118,24,2,25,69,74,28,176,6,12,4,,0.229,0.274,0.427,0.702,0.299,89,,1.2,,167.8,,2.11,1,1.05,19287
Kevin Kiermaier,TBR,114,422,380,89,17,5,7,49,41,35,104,5,11,4,,0.234,0.305,0.36,0.665,0.291,82,,1.2,,590.4,,2.21,0.2,1.02,11038
Kyle Lewis,SEA,89,375,332,81,14,1,15,45,44,39,105,2,4,1,,0.244,0.325,0.429,0.754,0.326,111,,1.2,,439.2,,5.9,0.59,0.58,19508
Michael A. Taylor,KCR,132,479,438,104,21,2,13,52,50,32,134,4,12,4,,0.238,0.294,0.384,0.678,0.291,82,,1.2,,533,,2.96,0.08,0.91,11489
Jake Meyers,HOU,90,352,318,77,16,1,11,42,42,24,93,5,7,2,,0.243,0.304,0.405,0.709,0.306,96,,1.1,,595,,3.78,-0.46,0.79,20308
Chas McCormick,HOU,88,325,288,70,12,1,12,41,41,29,85,4,5,2,,0.243,0.315,0.414,0.728,0.314,101,,1.1,,511.8,,4.89,-0.36,0.73,19599
Brandon Marsh,LAA,108,422,377,93,19,3,9,51,40,39,129,3,10,2,,0.248,0.322,0.383,0.705,0.308,94,,1.1,,432.3,,4.11,-0.01,0.9,20202
Manuel Margot,TBR,115,439,398,101,20,3,11,53,47,35,74,2,14,6,,0.255,0.316,0.397,0.713,0.309,94,,1.1,,418.2,,3.05,-0.33,1.07,14712
Lane Thomas,WSN,114,432,383,92,20,3,14,55,51,44,114,4,10,4,,0.24,0.323,0.414,0.737,0.32,98,,1.1,,285.4,,2.3,-0.84,0.64,16939
Austin Slater,SFG,88,296,260,65,12,1,9,38,30,30,77,5,12,3,,0.251,0.338,0.416,0.754,0.329,107,,1,,578.3,,4.95,1.53,1.34,16153
Victor Robles,WSN,116,439,388,91,22,2,9,50,38,32,106,13,12,5,,0.234,0.312,0.369,0.681,0.299,84,,1,,484,,3.57,-0.36,1.09,18363
Nick Senzel,CIN,100,379,341,89,21,2,9,48,40,32,72,2,9,4,,0.261,0.326,0.416,0.742,0.321,94,,1,,390.4,,5,-0.62,0.98,19293
Odúbel Herrera,PHI,97,395,361,94,20,2,11,47,44,26,70,4,5,2,,0.262,0.317,0.42,0.737,0.317,96,,1,,587.5,,4.59,0.01,0.74,11476
Jason Heyward,CHC,83,324,288,70,12,2,9,37,33,31,62,3,4,1,,0.243,0.321,0.387,0.708,0.308,93,,0.9,,595,,2.19,-0.22,0.85,4940
Rafael Ortega,CHC,111,432,387,97,19,3,11,54,42,40,88,2,13,4,,0.251,0.323,0.399,0.722,0.315,97,,0.9,,363.8,,3.87,-0.1,1.05,10323
Cristian Pache,OAK,113,431,396,91,19,2,10,44,40,26,123,3,5,3,,0.23,0.282,0.366,0.648,0.282,80,,0.8,,567.8,,2.66,-0.45,0.59,19948
Jake Fraley,CIN,90,347,297,72,15,2,12,43,44,43,93,5,12,3,,0.241,0.344,0.422,0.766,0.334,103,,0.8,,537.7,,6.97,-0.35,1.03,19260
Tyler Naquin,CIN,120,475,434,113,23,2,18,58,63,31,114,4,5,2,,0.261,0.315,0.447,0.762,0.325,97,,0.7,,366.3,,3.25,-0.09,0.32,13359
Bryan De La Cruz,,67,263,241,65,12,1,6,29,27,18,61,2,2,1,,0.268,0.322,0.407,0.729,0.316,100,,0.7,,551.7,,5.48,-0.03,1.27,19600
Bradley Zimmer,CLE,90,340,296,66,12,1,9,40,33,30,118,10,13,3,,0.223,0.312,0.363,0.676,0.297,87,,0.7,,516.3,,4.63,-0.54,1.31,16221
Steven Duggar,SFG,93,338,306,72,16,3,7,39,33,28,100,2,8,2,,0.235,0.304,0.375,0.679,0.296,85,,0.7,,599,,4.09,-0.23,0.96,17719
Leury García,CHW,101,404,368,97,16,2,6,48,37,25,84,4,7,2,,0.263,0.315,0.37,0.686,0.3,87,,0.6,,550.7,,2.82,-1.13,1.01,5913
Randal Grichuk,COL,132,532,494,129,28,2,25,67,77,30,114,4,1,1,,0.26,0.306,0.476,0.782,0.331,93,,0.6,,349.8,,4.81,-3.33,0.58,10243
Leody Taveras,,56,221,199,45,9,2,6,26,21,19,61,1,9,2,,0.225,0.296,0.368,0.664,0.29,83,,0.6,,583.8,,4.7,0.72,1.44,18900
Adam Engel,CHW,76,287,262,62,13,2,10,35,31,18,73,6,10,2,,0.236,0.298,0.409,0.707,0.306,91,,0.6,,597.6,,3.43,-1.03,1.18,15082
Matt Vierling,PHI,66,234,211,53,10,1,6,26,25,17,55,3,5,1,,0.251,0.311,0.397,0.708,0.306,89,,0.6,,575.2,,5.16,0.06,1.3,21558
Kyle Isbel,KCR,78,298,271,67,14,2,7,35,30,22,70,3,8,2,,0.247,0.311,0.392,0.703,0.305,91,,0.6,,555.4,,4.35,0.62,1.17,21614
Oscar Mercado,CLE,78,301,270,64,14,1,7,35,29,23,59,3,9,3,,0.238,0.305,0.382,0.687,0.299,88,,0.6,,593.9,,5.68,0.16,1.2,16375
Brett Gardner,,68,255,220,51,9,2,6,30,25,30,55,2,3,1,,0.23,0.325,0.379,0.704,0.309,93,,0.5,,598.6,,2.57,0.45,0.99,9927
Kevin Pillar,LAD,62,231,217,55,11,1,9,30,31,9,45,4,4,1,,0.252,0.291,0.436,0.727,0.31,94,,0.5,,594.3,,10.5,-0.04,1.09,12434
Mauricio Dubón,SFG,43,157,145,37,7,1,4,18,16,10,29,1,2,1,,0.255,0.304,0.392,0.696,0.3,88,,0.4,,596.5,,4.11,2.83,1.5,16530
Jarren Duran,,67,273,249,63,13,3,7,35,27,19,74,3,9,3,,0.252,0.31,0.405,0.715,0.309,90,,0.4,,512.4,,7.53,0.03,1.31,24617
Victor Reyes,DET,63,238,224,59,10,3,4,29,22,11,53,1,6,2,,0.263,0.301,0.39,0.692,0.299,88,,0.4,,594.6,,5.05,0.97,1.43,15487
Sam Hilliard,COL,98,362,328,75,14,3,17,47,46,31,121,2,8,2,,0.228,0.297,0.446,0.744,0.317,84,,0.4,,495.5,,2.11,0.97,0.73,17954
Jose Siri,HOU,62,210,194,46,9,1,7,26,25,13,73,2,8,2,,0.236,0.289,0.405,0.693,0.298,90,,0.4,,578.9,,4.87,0.2,1.35,17452
Nick Gordon,MIN,47,174,161,40,8,1,3,20,17,10,40,2,7,2,,0.25,0.301,0.381,0.683,0.296,86,,0.4,,588.3,,3.77,-0.31,1.6,16337
Garrett Hampson,COL,96,357,325,81,15,4,9,46,32,25,89,2,14,4,,0.25,0.306,0.403,0.709,0.306,77,,0.3,,322.9,,5.88,0.27,1.34,19262
Brett Phillips,TBR,59,186,161,31,5,2,7,24,21,21,67,1,8,2,,0.195,0.289,0.376,0.665,0.289,80,,0.3,,592.3,,3.71,0.05,1.33,14735
Michael Hermosillo,CHC,35,127,111,25,5,0,5,16,14,11,37,4,2,1,,0.224,0.308,0.398,0.706,0.306,92,,0.3,,599,,3.55,-0.15,1.44,16285
Skye Bolt,OAK,23,75,66,14,3,0,2,8,7,7,21,1,1,0,,0.216,0.292,0.359,0.651,0.286,83,,0.2,,999,,3.09,0.43,1.69,17723
Jackie Bradley Jr.,BOS,85,325,290,63,15,2,8,38,31,27,88,6,5,2,,0.216,0.294,0.358,0.653,0.286,75,,0.2,,587.3,,2.75,1.09,0.81,12984
