Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Will Smith,LAD,129,513,433,114,22,1,29,75,84,61,107,12,2,1,,0.264,0.365,0.521,0.886,0.375,137,,4.7,,53.4,,2.97,-0.46,0.68,19197
Yasmani Grandal,CHW,124,506,408,96,16,1,25,69,71,88,122,4,1,1,,0.236,0.373,0.466,0.839,0.362,129,,4,,102.2,,1.84,1.42,0.71,11368
J.T. Realmuto,PHI,140,579,518,136,26,3,22,77,76,47,135,10,11,3,,0.262,0.333,0.451,0.784,0.336,108,,3.8,,49.3,,2.65,-0.56,0.28,11739
Salvador Perez,KCR,139,587,547,144,25,1,34,74,98,26,140,10,1,1,,0.263,0.307,0.5,0.807,0.339,113,,3.7,,32.1,,1.97,0.03,1.13,7304
Tyler Stephenson,CIN,131,484,425,114,24,1,14,61,57,48,99,7,0,0,,0.269,0.351,0.425,0.776,0.338,106,,2.9,,137.4,,3.66,0.1,0.62,17988
Willson Contreras,CHC,129,523,452,111,21,1,22,69,67,52,140,15,4,2,,0.246,0.341,0.445,0.786,0.34,114,,2.7,,109.6,,2.02,0.06,0.33,11609
Sean Murphy,OAK,112,420,370,84,18,1,18,47,51,41,108,7,0,0,,0.226,0.314,0.423,0.737,0.319,106,,2.5,,248.3,,2.54,-0.92,0.45,19352
Mitch Garver,TEX,107,415,361,86,17,1,21,53,56,45,120,5,1,1,,0.238,0.328,0.464,0.791,0.339,116,,2.4,,161,,2.83,-0.15,0.43,15161
Jacob Stallings,MIA,112,422,374,91,18,1,9,40,43,40,92,4,0,0,,0.243,0.32,0.366,0.686,0.302,91,,2.2,,447.4,,2.33,0.76,0.48,13723
Keibert Ruiz,WSN,105,412,377,102,20,1,16,47,55,29,49,4,0,0,,0.269,0.328,0.45,0.778,0.334,106,,2.2,,145.1,,2.97,-0.31,0.75,19610
Daulton Varsho,ARI,121,461,415,105,22,3,18,62,58,40,99,4,10,2,,0.253,0.324,0.45,0.775,0.332,105,,2.2,,92.8,,4.4,0.09,0.51,19918
Adley Rutschman,BAL,90,365,320,80,16,1,12,42,42,39,70,3,2,1,,0.25,0.336,0.42,0.756,0.327,106,,2.1,,211.8,,4.27,1.14,0.61,sa3011643
Mike Zunino,TBR,102,369,332,67,12,1,23,48,55,30,132,6,0,0,,0.203,0.28,0.456,0.737,0.313,96,,2,,251.6,,2.97,-0.65,0.9,13265
Danny Jansen,TOR,93,337,295,69,15,1,15,44,44,32,69,5,0,0,,0.234,0.319,0.441,0.759,0.327,104,,2,,400.1,,2.52,-0.54,0.43,16535
Carson Kelly,ARI,107,404,353,85,16,1,15,45,51,43,84,5,0,0,,0.241,0.329,0.418,0.748,0.324,100,,1.9,,281.3,,1.61,0.08,0.37,13620
Max Stassi,LAA,101,381,335,75,13,1,15,45,44,35,112,7,0,0,,0.225,0.307,0.403,0.71,0.308,94,,1.8,,300.6,,2.35,-0.02,0.37,10059
Alejandro Kirk,TOR,97,359,317,84,18,0,14,44,50,35,49,4,1,0,,0.266,0.344,0.461,0.805,0.346,116,,1.8,,226.8,,3.05,1,0.74,22581
