Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Yordan Alvarez,HOU,144,610,539,151,32,1,38,90,107,61,144,8,1,1,,0.28,0.36,0.557,0.916,0.385,149,,4.1,,25.9,,2.66,-0.19,1.28,19556
Shohei Ohtani,LAA,143,603,518,135,25,5,38,100,94,79,173,4,22,8,,0.261,0.361,0.548,0.909,0.381,143,,4,,8.9,,5.94,-0.65,0.95,19755
Seiya Suzuki,CHC,125,519,449,119,24,2,22,65,68,59,102,7,7,4,,0.266,0.357,0.474,0.832,0.356,125,,2.6,,999,,6.23,0.41,0.27,sa3018052
Giancarlo Stanton,NYY,137,583,512,134,22,0,34,78,94,63,162,5,1,1,,0.262,0.346,0.508,0.854,0.358,126,,2.3,,95.8,,2.58,0.34,1.08,4949
J.D. Martinez,BOS,143,622,556,152,33,2,29,85,93,57,146,4,1,1,,0.273,0.343,0.497,0.84,0.354,121,,2,,88.5,,1.9,-1.11,0.95,6184
Michael Brantley,HOU,118,507,461,134,27,2,11,65,55,39,59,5,2,1,,0.29,0.351,0.431,0.782,0.337,117,,2,,252.3,,2.45,-0.41,1.14,4106
Franmil Reyes,CLE,144,593,530,135,23,1,36,76,97,54,177,3,3,1,,0.255,0.324,0.506,0.83,0.35,122,,1.9,,121.8,,3.69,-0.45,1.1,14566
Jorge Soler,MIA,137,585,508,120,24,0,30,74,79,65,154,8,1,0,,0.237,0.33,0.464,0.794,0.34,116,,1.6,,192.3,,3.61,-1.25,1.06,14221
Austin Meadows,TBR,136,578,512,126,28,3,26,76,86,55,129,6,6,3,,0.247,0.323,0.467,0.791,0.336,111,,1.5,,149,,1.82,0.44,0.7,15672
Trey Mancini,BAL,143,613,552,145,28,2,24,77,75,51,139,8,0,0,,0.263,0.332,0.451,0.783,0.336,112,,1.4,,208.7,,3.19,-0.91,0.63,15149
Nelson Cruz,WSN,127,538,476,125,21,1,29,71,84,50,126,7,1,1,,0.262,0.338,0.492,0.83,0.35,117,,1.4,,167.6,,4.3,0.45,0.77,2434
Rowdy Tellez,MIL,110,414,372,94,19,1,20,50,59,33,87,6,1,1,,0.253,0.32,0.467,0.787,0.335,107,,0.8,,355.5,,4.52,-0.67,0.49,15679
Gavin Sheets,CHW,110,418,377,95,17,1,18,50,59,36,95,3,1,1,,0.252,0.32,0.446,0.766,0.329,107,,0.8,,527.5,,2.64,0.67,0.45,19901
Luis Torrens,SEA,72,273,248,59,12,1,10,28,33,22,67,2,0,0,,0.238,0.302,0.412,0.714,0.305,97,,0.7,,455.6,,5.33,0.22,0.88,15905
Daniel Vogelbach,PIT,90,338,283,64,12,0,14,40,40,52,78,2,0,0,,0.226,0.348,0.416,0.764,0.335,110,,0.5,,587.6,,2.24,-1.08,0.49,14130
Jed Lowrie,OAK,99,398,355,87,20,1,11,42,47,38,84,2,0,0,,0.244,0.319,0.401,0.72,0.309,99,,0.4,,588.3,,3.21,-1.74,0.45,4418
Yoshi Tsutsugo,PIT,118,458,398,90,20,1,17,54,57,54,117,3,0,0,,0.227,0.321,0.411,0.733,0.319,99,,0.3,,458.9,,2.89,-1.71,0.39,27459
Seth Beer,ARI,103,374,333,84,18,1,14,46,48,27,85,12,0,1,,0.253,0.33,0.438,0.769,0.332,105,,0.3,,553.5,,5.28,-0.64,0.52,20493
Nick Fortes,,24,86,78,19,3,0,2,9,10,6,17,1,1,0,,0.243,0.311,0.375,0.686,0.3,90,,0.3,,596.7,,3.45,1.46,1.68,21538
Jake Burger,CHW,26,95,88,21,5,0,4,12,12,6,28,1,0,0,,0.237,0.288,0.423,0.711,0.304,90,,0.2,,597.5,,5.11,1.64,1.55,22275
Willie Calhoun,TEX,109,423,385,98,18,2,15,47,48,30,59,4,1,1,,0.253,0.312,0.424,0.736,0.317,101,,0.2,,470,,5.38,0.52,0.5,17838
Mitch Moreland,,51,193,174,41,8,1,8,23,26,17,44,1,0,0,,0.236,0.305,0.433,0.738,0.315,103,,0.2,,600.9,,2.19,-1.92,1.1,3086
Curtis Terry,MIN,17,67,62,14,3,0,2,8,8,4,18,1,0,0,,0.227,0.29,0.405,0.694,0.3,89,,0.2,,999,,5.94,1.69,1.67,18881
Renato Núñez,,23,86,78,19,4,0,4,10,11,6,22,1,0,0,,0.238,0.303,0.438,0.742,0.318,101,,0.1,,599.6,,6.19,3.38,1.6,14503
Taylor Jones,HOU,17,67,60,14,3,0,2,7,8,6,18,0,0,0,,0.24,0.31,0.388,0.698,0.303,94,,0.1,,999,,3.94,1.9,1.71,19533
Yermín Mercedes,CHW,7,23,21,5,1,0,1,3,3,1,4,0,0,0,,0.255,0.304,0.41,0.714,0.307,92,,0,,598.2,,3.82,3.48,1.9,17423
Khris Davis,,36,134,120,27,5,0,6,16,18,11,37,1,0,0,,0.226,0.296,0.428,0.724,0.309,99,,0,,999,,3.12,0.2,1.32,9112
Miguel Cabrera,DET,111,461,415,104,16,0,13,45,56,37,103,4,0,0,,0.251,0.314,0.389,0.704,0.303,90,,-0.4,,550.7,,2.94,-0.09,0.49,1744
