Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Juan Soto,WSN,152,661,519,162,30,3,36,113,104,134,101,4,11,5,,0.313,0.454,0.587,1.041,0.438,174,,7.5,,3.8,,2.51,0.73,0.99,20123
Bryan Reynolds,PIT,150,632,553,158,33,6,25,85,84,69,128,7,5,2,,0.286,0.37,0.501,0.871,0.371,133,,4.3,,92.9,,1.51,0.39,0.73,19326
Joey Gallo,NYY,142,591,486,102,18,1,38,87,89,96,207,7,5,1,,0.209,0.346,0.486,0.832,0.355,124,,3.5,,178.7,,2.96,0.19,1.91,14128
Jesse Winker,SEA,135,559,483,133,26,1,25,79,72,64,98,10,2,1,,0.274,0.37,0.493,0.862,0.37,141,,3.3,,116.2,,2,1.39,0.66,13590
Brandon Nimmo,NYM,123,521,434,114,23,4,13,71,48,73,111,10,7,3,,0.262,0.38,0.424,0.804,0.354,123,,3,,331,,4.15,-0.24,0.63,12927
Christian Yelich,MIL,137,582,493,131,26,3,22,86,73,81,140,5,13,4,,0.266,0.374,0.462,0.836,0.36,124,,2.9,,97.8,,2.34,-0.37,0.43,11477
Tyler O'Neill,STL,139,546,492,126,23,2,31,81,83,42,167,9,13,3,,0.257,0.324,0.502,0.826,0.35,120,,2.8,,47.2,,3.94,0.29,0.54,15711
Kyle Schwarber,PHI,137,578,491,120,21,1,36,87,83,79,156,6,2,1,,0.243,0.353,0.512,0.866,0.367,129,,2.7,,110.8,,2.54,-0.26,1.2,16478
Alex Verdugo,BOS,142,599,541,155,35,2,15,81,65,49,97,5,6,2,,0.287,0.348,0.44,0.788,0.339,111,,2.4,,170,,1.89,-0.63,0.97,17027
Teoscar Hernández,TOR,144,609,557,148,29,2,34,88,99,44,165,6,11,4,,0.266,0.324,0.506,0.829,0.351,120,,2.2,,27.5,,3.27,0.2,0.57,13066
Chris Taylor,LAD,132,522,459,116,26,3,18,74,67,53,145,6,10,2,,0.254,0.336,0.442,0.778,0.336,111,,2.2,,141.6,,2.62,0.06,0.36,13757
Marcell Ozuna,ATL,128,545,485,129,21,1,27,72,81,55,117,3,2,1,,0.265,0.342,0.479,0.821,0.351,117,,2.2,,169.2,,2.21,-3.41,0.63,10324
Eloy Jiménez,CHW,142,589,544,147,29,1,31,74,93,38,143,4,1,0,,0.271,0.321,0.5,0.821,0.347,119,,2.2,,65.4,,3.01,-0.35,0.99,17484
Jesús Sánchez,MIA,131,533,484,123,20,4,23,62,72,41,141,5,3,1,,0.255,0.319,0.456,0.774,0.331,110,,2.2,,234,,2.23,-0.73,0.42,19913
Randy Arozarena,TBR,142,597,525,136,28,3,23,84,71,52,159,15,19,8,,0.259,0.341,0.453,0.794,0.342,115,,2.2,,66.1,,3,0.43,0.83,19290
Ian Happ,CHC,137,545,472,114,22,2,25,69,71,65,154,5,8,3,,0.241,0.338,0.456,0.793,0.341,115,,2.1,,219.1,,2.62,-0.07,0.58,17919
Michael Brantley,HOU,118,507,461,134,27,2,11,65,55,39,59,5,2,1,,0.29,0.351,0.431,0.782,0.337,117,,2,,252.3,,2.45,-0.41,1.14,4106
