Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Juan Soto,WSN,152,661,519,162,30,3,36,113,104,134,101,4,11,5,,0.313,0.454,0.587,1.041,0.438,174,,7.5,,3.8,,2.51,0.73,0.99,20123
Mike Trout,LAA,136,587,476,134,25,3,37,98,95,97,139,10,7,2,,0.281,0.41,0.578,0.988,0.412,164,,6.5,,13,,3.28,-1.31,0.74,10155
Mookie Betts,LAD,146,657,565,158,34,3,31,112,87,79,100,8,14,5,,0.28,0.373,0.513,0.886,0.376,138,,5.8,,15.3,,3.24,-0.33,0.66,13611
Aaron Judge,NYY,145,625,541,149,25,1,38,97,98,76,166,5,5,2,,0.276,0.369,0.537,0.906,0.382,142,,5.3,,36.4,,1.9,-1.7,0.96,15640
Bryce Harper,PHI,150,646,528,146,32,2,37,104,101,106,145,6,14,4,,0.277,0.4,0.555,0.956,0.4,150,,5.3,,8.6,,3.38,1.64,0.48,11579
Ronald Acuña Jr.,ATL,122,538,457,128,25,2,33,99,81,68,135,9,19,7,,0.281,0.383,0.562,0.945,0.398,147,,5.1,,12,,6.24,-0.27,0.53,18401
Luis Robert,CHW,142,608,555,158,32,3,29,87,85,40,145,9,19,5,,0.285,0.341,0.51,0.85,0.36,128,,4.6,,16.1,,2.43,-2.21,0.5,20043
Kyle Tucker,HOU,149,609,547,153,33,4,32,87,95,54,111,4,17,4,,0.279,0.346,0.529,0.875,0.369,138,,4.6,,12.4,,2.88,-0.02,0.26,18345
Byron Buxton,MIN,128,520,480,130,31,3,30,85,76,29,127,7,16,4,,0.27,0.319,0.536,0.855,0.358,128,,4.6,,45.6,,3.54,-2.49,0.45,14161
Bryan Reynolds,PIT,150,632,553,158,33,6,25,85,84,69,128,7,5,2,,0.286,0.37,0.501,0.871,0.371,133,,4.3,,92.9,,1.51,0.39,0.73,19326
George Springer,TOR,135,596,518,136,24,2,35,97,85,66,126,8,6,2,,0.263,0.353,0.521,0.875,0.371,133,,4.2,,57.5,,3.71,-0.05,0.85,12856
Ketel Marte,ARI,142,608,552,161,35,4,22,82,77,47,90,5,5,2,,0.293,0.351,0.49,0.841,0.358,122,,3.7,,78.4,,2.35,-1.75,0.92,13613
Joey Gallo,NYY,142,591,486,102,18,1,38,87,89,96,207,7,5,1,,0.209,0.346,0.486,0.832,0.355,124,,3.5,,178.7,,2.96,0.19,1.91,14128
Jesse Winker,SEA,135,559,483,133,26,1,25,79,72,64,98,10,2,1,,0.274,0.37,0.493,0.862,0.37,141,,3.3,,116.2,,2,1.39,0.66,13590
Cedric Mullins,BAL,148,636,566,147,30,5,23,85,61,51,120,7,26,7,,0.26,0.326,0.448,0.775,0.332,109,,3.2,,33.2,,2.99,-0.08,1.47,17929
Trent Grisham,SDP,138,580,503,123,26,4,19,78,65,65,132,6,15,4,,0.245,0.336,0.426,0.762,0.33,107,,3.1,,146.8,,2.68,0.7,0.85,18564
Cody Bellinger,LAD,141,570,501,122,24,3,27,79,81,63,127,3,9,3,,0.243,0.33,0.468,0.797,0.338,113,,3.1,,104.8,,4.95,-0.94,0.7,15998
Rhys Hoskins,PHI,135,584,491,118,27,1,35,86,89,81,138,9,3,2,,0.241,0.357,0.512,0.869,0.37,130,,3,,122.9,,4.8,-0.12,1.18,16472
Brandon Nimmo,NYM,123,521,434,114,23,4,13,71,48,73,111,10,7,3,,0.262,0.38,0.424,0.804,0.354,123,,3,,331,,4.15,-0.24,0.63,12927
Harrison Bader,STL,140,517,460,113,23,2,19,64,58,43,128,10,12,4,,0.245,0.321,0.426,0.746,0.321,102,,2.9,,239.4,,4.3,-0.6,0.66,18030
Christian Yelich,MIL,137,582,493,131,26,3,22,86,73,81,140,5,13,4,,0.266,0.374,0.462,0.836,0.36,124,,2.9,,97.8,,2.34,-0.37,0.43,11477
Tyler O'Neill,STL,139,546,492,126,23,2,31,81,83,42,167,9,13,3,,0.257,0.324,0.502,0.826,0.35,120,,2.8,,47.2,,3.94,0.29,0.54,15711
Enrique Hernández,BOS,139,575,509,126,30,2,22,77,68,54,111,7,2,1,,0.248,0.325,0.445,0.771,0.331,105,,2.8,,225.8,,3.33,-0.45,0.51,10472
Starling Marte,NYM,135,591,532,148,27,3,16,88,64,41,109,14,35,7,,0.278,0.344,0.431,0.776,0.336,111,,2.7,,33,,5.48,1.87,2.14,9241
Kyle Schwarber,PHI,137,578,491,120,21,1,36,87,83,79,156,6,2,1,,0.243,0.353,0.512,0.866,0.367,129,,2.7,,110.8,,2.54,-0.26,1.2,16478
Julio Rodríguez,SEA,98,413,371,100,20,2,13,54,49,34,91,5,9,3,,0.27,0.339,0.439,0.777,0.334,117,,2.6,,250.5,,7.87,-0.72,0.84,sa3005720
Ramón Laureano,OAK,118,495,442,112,24,2,20,66,59,37,128,11,13,4,,0.254,0.325,0.454,0.779,0.334,116,,2.6,,250.7,,3.88,-0.88,0.62,17128
Max Kepler,MIN,133,558,488,114,25,3,24,74,68,60,104,7,8,2,,0.234,0.323,0.445,0.769,0.33,109,,2.5,,295.3,,1.36,-0.76,0.76,12144
Dylan Carlson,STL,150,635,560,144,31,4,21,80,72,59,152,9,5,2,,0.257,0.335,0.44,0.775,0.334,110,,2.5,,168,,3.59,0.91,0.32,20126
