Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Juan Soto,WSN,152,661,519,162,30,3,36,113,104,134,101,4,11,5,,0.313,0.454,0.587,1.041,0.438,174,,7.5,,3.8,,2.51,0.73,0.99,20123
Mookie Betts,LAD,146,657,565,158,34,3,31,112,87,79,100,8,14,5,,0.28,0.373,0.513,0.886,0.376,138,,5.8,,15.3,,3.24,-0.33,0.66,13611
Aaron Judge,NYY,145,625,541,149,25,1,38,97,98,76,166,5,5,2,,0.276,0.369,0.537,0.906,0.382,142,,5.3,,36.4,,1.9,-1.7,0.96,15640
Bryce Harper,PHI,150,646,528,146,32,2,37,104,101,106,145,6,14,4,,0.277,0.4,0.555,0.956,0.4,150,,5.3,,8.6,,3.38,1.64,0.48,11579
Ronald Acuña Jr.,ATL,122,538,457,128,25,2,33,99,81,68,135,9,19,7,,0.281,0.383,0.562,0.945,0.398,147,,5.1,,12,,6.24,-0.27,0.53,18401
Kyle Tucker,HOU,149,609,547,153,33,4,32,87,95,54,111,4,17,4,,0.279,0.346,0.529,0.875,0.369,138,,4.6,,12.4,,2.88,-0.02,0.26,18345
George Springer,TOR,135,596,518,136,24,2,35,97,85,66,126,8,6,2,,0.263,0.353,0.521,0.875,0.371,133,,4.2,,57.5,,3.71,-0.05,0.85,12856
Joey Gallo,NYY,142,591,486,102,18,1,38,87,89,96,207,7,5,1,,0.209,0.346,0.486,0.832,0.355,124,,3.5,,178.7,,2.96,0.19,1.91,14128
Cody Bellinger,LAD,141,570,501,122,24,3,27,79,81,63,127,3,9,3,,0.243,0.33,0.468,0.797,0.338,113,,3.1,,104.8,,4.95,-0.94,0.7,15998
Christian Yelich,MIL,137,582,493,131,26,3,22,86,73,81,140,5,13,4,,0.266,0.374,0.462,0.836,0.36,124,,2.9,,97.8,,2.34,-0.37,0.43,11477
